time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-04-30T23:58:17.000Z,59.8405,-153.5397,138,3.4,Ml,82,97.2,0.26230806,0.55,ak,ak10705361,2013-06-10T22:36:52.433Z,"77km E of Old Iliamna, Alaska",earthquake
2013-04-30T23:30:09.000Z,37.19,71.073,105.3,4.1,Mb,27,97.2,1.8981402,1.27,us,usb000gjcl,2013-06-10T22:11:05.539Z,"41km NNE of Jarm, Afghanistan",earthquake
2013-04-30T23:16:40.800Z,18.155,-66.947,22,2.3,Md,9,97.2,0.13295066,0.1,pr,pr13120002,2013-04-30T23:47:00.816Z,"4km SE of Maricao, Puerto Rico",earthquake
2013-04-30T23:01:58.000Z,64.9878,-147.3681,0,1.3,Ml,13,75.6,0.13205235,0.24,ak,ak10705334,2013-05-03T19:38:03.082Z,"22km NNE of Badger, Alaska",earthquake
2013-04-30T22:50:06.600Z,39.4433,-111.197,3,1.5,Md,,122.4,0.14373045,0.1,uu,uu60021462,2013-05-01T14:10:50.351Z,"23km WNW of Huntington, Utah",earthquake
2013-04-30T22:39:40.400Z,38.8165,-122.8132,3.4,1.1,Md,,75.6,0.00898315,0.07,nc,nc71979935,2013-05-02T01:47:10.434Z,"7km W of Cobb, California",earthquake
2013-04-30T22:33:07.000Z,35.0443,-117.6655,0,1.5,Ml,13,75.6,0.11678099,0.14,ci,ci15335681,2013-05-03T17:18:26.199Z,"2km NE of Quarry at BORON",quarry
2013-04-30T22:06:40.400Z,33.8473,-117.4942,0,1.3,Ml,29,75.6,0.08084838,0.19,ci,ci15335657,2013-05-03T17:39:12.903Z,"0km ESE of Quarry at CORONA",quarry
2013-04-30T22:01:52.700Z,37.6257,-118.8503,10,1.9,Md,,75.6,0.00898315,0.05,nc,nc71979895,2013-04-30T23:28:10.852Z,"11km ESE of Mammoth Lakes, California",earthquake
2013-04-30T21:55:07.000Z,52.6437,-169.8412,79.8,3.1,Ml,9,201.6,0.68002467,0.58,ak,ak10705304,2013-05-03T20:33:18.478Z,"57km E of Yunaska Island, Alaska",earthquake
2013-04-30T21:50:27.000Z,62.084,-145.275,15.5,1,Ml,9,111.6,0.09342479,0.77,ak,ak10705301,2013-05-03T19:38:06.353Z,"14km E of Glennallen, Alaska",earthquake
2013-04-30T21:46:43.000Z,39.4425,-111.217,1.4,1.5,Ml,,118.8,0.14373045,0.11,uu,uu60021447,2013-05-01T14:24:40.454Z,"23km ESE of Mount Pleasant, Utah",earthquake
2013-04-30T21:36:25.000Z,55.1826,-160.672,5.1,2.6,Ml,11,208.8,0.20032431,0.49,ak,ak10705295,2013-05-03T19:38:06.104Z,"20km SSW of Sand Point, Alaska",earthquake
2013-04-30T21:10:40.000Z,61.1601,-147.1476,0,1.3,Ml,8,133.2,0.28566426,0.64,ak,ak10705283,2013-05-03T20:33:17.430Z,"43km W of Valdez, Alaska",earthquake
2013-04-30T21:01:40.870Z,-20.9507,-67.5312,156.13,4.5,mb,26,88,1.83,1.45,us,usa000hf22,2013-05-01T19:40:32.361Z,"91km SW of Uyuni, Bolivia",earthquake
2013-04-30T20:47:35.000Z,63.2345,-150.4077,111.8,1,Ml,10,126,0.22188388,0.36,ak,ak10708905,2013-05-03T19:38:06.845Z,"75km WSW of Cantwell, Alaska",earthquake
2013-04-30T20:37:16.732Z,38.73,-119.6418,4,1.3,ml,4,147,0.166,,nn,nn00410627,2013-05-02T23:20:25.704Z,"19km SSE of Gardnerville Ranchos, Nevada",earthquake
2013-04-30T20:36:08.600Z,42.4028,-122.8282,0,1.1,Md,,140.4,0.22457882,0.07,uw,uw60523452,2013-05-01T19:50:41.040Z,"4km SSE of White City, Oregon",quarry
2013-04-30T20:35:40.395Z,38.7373,-119.6514,6.8338,1.06,ml,7,92,0.16,0.0386,nn,nn00410626,2013-05-02T23:24:54.956Z,"18km SSE of Gardnerville Ranchos, Nevada",earthquake
2013-04-30T20:20:06.000Z,60.9035,-152.7905,71.9,1.8,Ml,17,140.4,0.41591998,0.52,ak,ak10708903,2013-05-03T19:38:06.769Z,"46km N of Redoubt Volcano, Alaska",earthquake
2013-04-30T20:17:20.700Z,-17.639,167.943,17,4.9,Mb,66,97.2,3.81514501,1.19,us,usb000gj44,2013-09-23T20:10:01.000Z,"41km WNW of Port-Vila, Vanuatu",earthquake
2013-04-30T20:16:52.000Z,59.2581,-153.6823,77.1,1.5,Ml,16,115.2,0.84531468,0.8,ak,ak10708901,2013-05-03T19:38:06.682Z,"88km SE of Old Iliamna, Alaska",earthquake
2013-04-30T20:02:20.000Z,32.8953,-116.2615,5.6,1.5,Ml,32,86.4,0.13474729,0.32,ci,ci15335609,2013-05-02T23:47:56.064Z,"26km ENE of Pine Valley, California",earthquake
2013-04-30T19:53:13.000Z,63.9214,-148.971,0,1.9,Ml,33,54,0.18954452,0.75,ak,ak10705247,2013-05-03T19:38:02.918Z,"7km N of Healy, Alaska",earthquake
2013-04-30T19:48:46.000Z,57.7029,-153.4619,50.1,1.9,Ml,8,90,0.47520879,0.35,ak,ak10705246,2013-05-03T19:38:02.880Z,"35km ENE of Larsen Bay, Alaska",earthquake
2013-04-30T19:45:43.100Z,43.7297,-120.9822,0,1.4,Ml,,295.2,0.11678099,0.42,uw,uw60523432,2013-05-01T19:05:28.927Z,"40km ESE of Three Rivers, Oregon",quarry
2013-04-30T19:45:16.000Z,63.3188,-145.2696,2.4,1.3,Ml,20,57.6,0.24793502,0.6,ak,ak10705237,2013-05-03T19:38:02.740Z,"61km S of Deltana, Alaska",earthquake
2013-04-30T19:40:43.900Z,34.0413,-116.7442,14.5,1,Ml,11,187.2,0.22457882,0.1,ci,ci15335593,2013-05-02T23:09:26.155Z,"14km NNE of Cabazon, California",earthquake
2013-04-30T19:36:48.000Z,63.5391,-150.9664,8.8,1.5,Ml,23,68.4,0.31441035,0.74,ak,ak10705231,2013-05-03T19:38:01.604Z,"101km W of Cantwell, Alaska",earthquake
2013-04-30T19:32:35.000Z,53.839,-163.774,25.9,2.8,Ml,16,100.8,0.85878941,0,us,us2013pqdq,2013-06-10T22:32:21.489Z,"115km SSW of False Pass, Alaska",earthquake
2013-04-30T19:22:18.000Z,62.2319,-145.5359,27.1,1.2,Ml,14,122.4,0.15540854,0.73,ak,ak10705224,2013-05-03T19:38:01.591Z,"13km N of Glennallen, Alaska",earthquake
2013-04-30T19:11:54.200Z,39.4175,-111.2178,1.7,1.2,Ml,,147.6,0.11678099,0.1,uu,uu60021427,2013-05-01T13:28:40.022Z,"24km SE of Mount Pleasant, Utah",earthquake
2013-04-30T19:07:22.100Z,36.5538,-89.6132,5.4,1.2,Md,10,68.4,0.05389892,0.06,nm,nm061813c,2013-06-18T18:37:19.344Z,"4km S of Lilbourn, Missouri",earthquake
2013-04-30T18:55:21.000Z,39.4137,-111.2112,4,1.2,Md,,230.4,0.11678099,0.05,uu,uu60021422,2013-05-01T13:06:33.873Z,"23km WNW of Huntington, Utah",earthquake
2013-04-30T18:53:18.900Z,37.6532,-119.3733,6.3,1,Md,,151.2,0.23356197,0.12,nc,nc71979840,2013-04-30T21:06:10.289Z,"20km ESE of Yosemite Valley, California",earthquake
2013-04-30T18:44:16.000Z,63.0888,-151.6369,15.9,1,Ml,13,93.6,0.31530866,0.79,ak,ak10705214,2013-05-03T19:38:01.579Z,"115km NW of Talkeetna, Alaska",earthquake
2013-04-30T18:32:50.000Z,61.6814,-149.5555,30.5,1.6,Ml,36,61.2,0.22098556,0.52,ak,ak10705201,2013-05-03T19:38:01.562Z,"6km NNE of Meadow Lakes, Alaska",earthquake
2013-04-30T18:30:27.333Z,38.7349,-119.6487,6.8777,1.07,ml,11,85,0.162,0.1389,nn,nn00410617,2013-04-30T19:07:48.299Z,"18km SSE of Gardnerville Ranchos, Nevada",earthquake
2013-04-30T18:29:09.000Z,63.4852,-151.3484,6.4,2,Ml,29,54,0.3350716,0.76,ak,ak10705196,2013-05-03T19:38:01.547Z,"120km W of Cantwell, Alaska",earthquake
2013-04-30T18:29:07.900Z,-22.829,-69.19,84,4.1,Mb,17,61.2,0.33956318,0.85,us,usb000giyn,2013-06-10T22:11:35.619Z,"48km SSW of Calama, Chile",earthquake
2013-04-30T18:26:47.200Z,34.6317,-117.1093,0,1.9,Ml,31,68.4,0.21559567,0.21,ci,ci15335553,2013-05-02T22:29:01.257Z,"0km E of Quarry at VICTORVILLE",quarry
2013-04-30T18:17:56.000Z,61.6926,-149.558,30.2,1,Ml,17,68.4,0.22547714,0.53,ak,ak10705192,2013-05-03T19:38:01.534Z,"7km NNE of Meadow Lakes, Alaska",earthquake
