time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T23:56:12.000Z,63.3555,-150.1375,110,1.1,Ml,9,111.6,0.11678099,0.29,ak,ak10665639,2013-03-02T00:33:43.751Z,"59km W of Cantwell, Alaska",earthquake
2013-02-28T23:54:03.800Z,18.8234,-64.2918,41,3,Md,7,327.6,0.099713,0.05,pr,pr13059007,2013-06-10T21:37:48.193Z,"56km NE of Road Town, British Virgin Islands",earthquake
2013-02-28T23:44:32.000Z,0,98,44,1,Mi,10,,,,pt,pt13059003,2013-03-01T00:01:04.208Z,"165km NW of Sikabaluan, Indonesia",earthquake
2013-02-28T23:32:23.000Z,61.8784,-149.8392,39.6,1.3,Ml,18,72,0.44017449,0.42,ak,ak10665637,2013-03-02T00:33:43.737Z,"17km NE of Willow, Alaska",earthquake
2013-02-28T23:20:13.000Z,60.0536,-152.6282,91.3,1.8,Ml,19,82.8,0.25422323,0.5,ak,ak10664836,2013-03-02T00:33:43.682Z,"48km S of Redoubt Volcano, Alaska",earthquake
2013-02-28T23:02:05.600Z,34.021,-117.141,14.6,1.2,Ml,,82.8,0.02694946,0.15,ci,ci11250394,2013-03-01T01:29:41.467Z,"5km SE of Redlands, California",earthquake
2013-02-28T22:57:48.600Z,19.4733,-67.9462,87,3.3,Md,7,234,1.27381107,0.43,pr,pr13059006,2013-02-28T23:47:29.174Z,"109km NNE of Punta Cana, Dominican Republic",earthquake
2013-02-28T22:51:37.200Z,36.9337,-113.6323,-1.7,2,Md,,198,0.31441035,0.13,uu,uu60014447,2013-03-01T17:27:34.354Z,"19km SSW of Saint George, Utah",earthquake
2013-02-28T22:33:32.800Z,32.799,-116.0723,8.9,1.9,Ml,,64.8,0.10779783,0.21,ci,ci11250386,2013-03-01T01:59:09.380Z,"35km W of Seeley, California",earthquake
2013-02-28T22:32:41.000Z,63.5751,-150.97,7,2.1,Ml,25,43.2,0.32698676,0.57,ak,ak10664802,2013-03-02T00:33:42.426Z,"102km WNW of Cantwell, Alaska",earthquake
2013-02-28T22:19:38.000Z,62.2173,-150.0454,11.1,1.4,Ml,15,82.8,0.75727978,0.45,ak,ak10664791,2013-03-02T00:33:42.556Z,"11km WNW of Y, Alaska",earthquake
2013-02-28T22:05:52.100Z,37.3223,-122.1042,0,1.8,Md,,43.2,0.01796631,0.16,nc,nc71946080,2013-03-06T02:05:33.043Z,"11km E of Quarry near Portola Valley, CA",quarry
