time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-03-31T23:47:48.100Z,19.3718,-155.0288,4.3,1.1,Md,,198,0.05389892,0.25,hv,hv60233878,2013-04-01T20:51:45.673Z,"15km SW of Leilani Estates, Hawaii",earthquake
2013-03-31T23:47:13.300Z,19.3378,-154.995,4.2,1.4,Md,,252,0.09881468,0.1,hv,hv60484856,2013-04-01T20:50:45.562Z,"16km SSW of Leilani Estates, Hawaii",earthquake
2013-03-31T23:45:23.800Z,38.6505,-122.7628,6.6,2.4,Md,,32.4,0.06288207,0.1,nc,nc71964025,2013-04-03T20:54:08.326Z,"10km ENE of Healdsburg, California",earthquake
2013-03-31T23:38:40.000Z,63.1853,-151.3752,10.4,1,Ml,,,,0.54,ak,ak10684695,2013-04-03T16:01:01.952Z,"115km NNW of Talkeetna, Alaska",earthquake
2013-03-31T23:27:24.000Z,58.988,-153.8666,102.6,4.8,Ml,,,,0.75,ak,ak10684683,2013-06-10T21:47:45.269Z,"103km SE of Old Iliamna, Alaska",earthquake
2013-03-31T23:23:47.300Z,35.0303,-117.703,0,1.8,Ml,17,64.8,0.09881468,0.31,ci,ci37110396,2013-04-01T21:55:56.177Z,"2km W of Quarry at BORON",quarry
2013-03-31T23:23:30.700Z,35.9343,-117.6715,2.2,1.5,Ml,18,61.2,0.02694946,0.14,ci,ci11276538,2013-04-01T21:48:40.329Z,"30km NW of Searles Valley, California",earthquake
2013-03-31T22:55:34.000Z,63.4826,-151.0939,1.1,1.2,Ml,,,,0.67,ak,ak10684676,2013-04-03T16:01:01.925Z,"107km W of Cantwell, Alaska",earthquake
2013-03-31T22:42:39.700Z,40.5298,-121.6393,9.3,1,Md,,75.6,0.04491576,0.09,nc,nc71964005,2013-04-01T23:05:09.257Z,"21km E of Shingletown, California",earthquake
2013-03-31T22:33:11.600Z,34.0053,-117.1748,2.7,1.2,Ml,37,57.6,0.06288207,0.16,ci,ci11276530,2013-04-01T21:39:59.275Z,"5km S of Redlands, California",earthquake
2013-03-31T22:28:48.000Z,59.8197,-152.9489,96.1,1.9,Ml,,,,0.68,ak,ak10686303,2013-04-03T16:01:13.989Z,"62km W of Anchor Point, Alaska",earthquake
2013-03-31T22:23:44.500Z,18.0394,-66.5615,19,3.1,Md,30,93.6,0.03862756,0.37,pr,pr13090003,2013-04-02T20:28:02.319Z,"1km SW of Coto Laurel, Puerto Rico",earthquake
